id,temple_code,temple_name,temple_type,sect,registration_type,established_date,has_visung,visung_date,status_date,subdistrict,district,province,postal_code,phone,fax,email,website,village,house_no,moo,soi,road,note,province_id,district_id,subdistrict_id,order_no,created_at,updated_at
1,4311901007,ก.ม.ศูนย์,วัดราษฎร์,มหานิกาย,ตั้งวัด,1906-12-07,ไม่ได้รับ,-,//,หนองแวง,บ้านใหม่ไชยพจน์,บุรีรัมย์,31120,,,,http://binfo.onab.go.th/Temple/Dashboard.aspx,บ้าน กม.ศูนย์,1,1,,,ปัจจุบันพระอธิการทองภู นาควโร เป็นเจ้าอาวาส,,,,,,
2,1102105008,กก,วัดราษฎร์,มหานิกาย,ตั้งวัด,1906-04-18,ได้รับ,2542-09-20,//,ท่าข้าม,บางขุนเทียน,กรุงเทพมหานคร,10150,,,,,,,1,,,แก้ไขวันรับพระราชทานวิสุงคามสีมา จากเดิม 30/11/2320 เป็น 20/09/2542 (พส.1875 ลว. 24/07/66),,,,,,
3,67113010001,กก,วัดราษฎร์,มหานิกาย,ยกวัดร้าง,2566-10-27,ไม่ได้รับ,-,//,บ้านใหม่,เมืองปทุมธานี,ปทุมธานี,12000,,,,,คลองบางตะองค์,,2,,,ขึ้นทะเบียนยกวัดร้างขึ้นเป็นวัดมีพระภิกษุอยู่จำพรรษา พส 02/133 ลว 23/01/2567,,,,,,
4,2600710001,กกกว้าว,วัดราษฎร์,มหานิกาย,ตั้งวัด,1906-08-16,ได้รับ,2472-11-22,//,พรหมนิมิต,ตาคลี,นครสวรรค์,60210,,,,,,,8,,,,,,,,,
5,2601102004,กกกอก,วัดราษฎร์,มหานิกาย,ตั้งวัด,1906-10-18,ไม่ได้รับ,-,,ห้วยน้ำหอม,ลาดยาว,นครสวรรค์,60150,,,,,,,4,,,,,,,,,
6,4490403005,กกกอก,วัดราษฎร์,มหานิกาย,ตั้งวัด,1906-10-16,ไม่ได้รับ,-,,กกตูม,ดงหลวง,มุกดาหาร,49140,,,,,,,2,,,,,,,,,
7,4470103005,กกกอก,วัดราษฎร์,มหานิกาย,ตั้งวัด,1906-07-27,ได้รับ,2554-12-16,,งิ้วด่อน,เมืองสกลนคร,สกลนคร,47000,,,,,,,12,,,,,,,,,
8,2670402004,กกกะทอน,วัดราษฎร์,มหานิกาย,ตั้งวัด,1906-08-16,ไม่ได้รับ,-,,นาซำ,หล่มเก่า,เพชรบูรณ์,67120,,,,,,,4,,,,,,,,,
9,2670904002,กกกะบก,วัดราษฎร์,มหานิกาย,ตั้งวัด,1906-10-13,ไม่ได้รับ,-,,โคกมน,น้ำหนาว,เพชรบูรณ์,67260,,,,,,,1,,,,,,,,,
10,4451204005,กกกุงวราราม,วัดราษฎร์,มหานิกาย,ตั้งวัด,2542-02-25,ไม่ได้รับ,-,,กกกุง,เมืองสรวง,ร้อยเอ็ด,45220,,,,,,,1,,,,,,,,,
11,2140415001,กกแก้วบูรพา,วัดราษฎร์,ธรรมยุต,ตั้งวัด,1906-09-08,ได้รับ,2569-01-05,//,กกแก้วบูรพา,บางไทร,พระนครศรีอยุธยา,13190,,,,,หนองกก,,2,,,"เดิมได้รับพระราชทานวิสุงคามสีมา เมิ่อวันที่ 	12/3/2508",,,,,,
12,2160103002,กกโก,วัดราษฎร์,มหานิกาย,ตั้งวัด,1906-05-18,ได้รับ,1906-08-09,,กกโก,เมืองลพบุรี,ลพบุรี,15000,,,,,,,8,,,,,,,,,
13,4320706013,กกข่าวนาราม,วัดราษฎร์,มหานิกาย,ตั้งวัด,2555-11-28,ไม่ได้รับ,-,,หนองบัวบาน,รัตนบุรี,สุรินทร์,32130,,,,,,,9,,,,,,,,,
14,4420507011,กกจาน,วัดราษฎร์,มหานิกาย,ตั้งวัด,2560-06-12,ได้รับ,2566-08-22,//,กกสะทอน,ด่านซ้าย,เลย,42120,,,,,,,7,,,บันทึกข้อมูลพระราชทานวิสุงคามสีมา งวดที่ 1 ประจำปี 2566,,,,,,
15,2720303007,กกซาง,วัดราษฎร์,มหานิกาย,ตั้งวัด,2547-11-22,ไม่ได้รับ,-,,ห้วยขมิ้น,ด่านช้าง,สุพรรณบุรี,72180,,,,,,,8,,,,,,,,,
16,4460506001,กกต้อง,วัดราษฎร์,มหานิกาย,ตั้งวัด,1906-08-15,ไม่ได้รับ,-,,กุดหว้า,กุฉินารายณ์,กาฬสินธุ์,46110,,,,,,,11,,,,,,,,,
17,4460602001,กกต้อง,วัดราษฎร์,มหานิกาย,ตั้งวัด,1906-08-31,ได้รับ,2530-09-15,,สงเปลือย,เขาวง,กาฬสินธุ์,46160,,,,,,,4,,,,,,,,,
18,4480101014,กกต้อง,วัดราษฎร์,มหานิกาย,ตั้งวัด,2529-12-26,ได้รับ,2533-03-23,,ในเมือง,เมืองนครพนม,นครพนม,48000,,,,,,,8,,,,,,,,,
19,3530501006,กกต้อง,วัดราษฎร์,มหานิกาย,ตั้งวัด,1906-10-10,ได้รับ,2541-03-25,,ฟากท่า,ฟากท่า,อุตรดิตถ์,53160,,,,,,,3,,,,,,,,,
20,2720303001,กกตาด,วัดราษฎร์,มหานิกาย,ตั้งวัด,1906-08-25,ได้รับ,2549-06-16,,ห้วยขมิ้น,ด่านช้าง,สุพรรณบุรี,72180,,,,,,,9,,,,,,,,,
21,2730315002,กกตาล,วัดราษฎร์,มหานิกาย,ตั้งวัด,1906-08-26,ได้รับ,1906-11-21,,สัมปทวน,นครชัยศรี,นครปฐม,73120,,,,,,,5,,,,,,,,,
22,4490403002,กกตูม,วัดราษฎร์,มหานิกาย,ตั้งวัด,1906-10-08,ได้รับ,2530-11-02,,กกตูม,ดงหลวง,มุกดาหาร,49140,,,,,,,1,,,,,,,,,
23,2720303003,กกเต็น,วัดราษฎร์,มหานิกาย,ตั้งวัด,1906-09-11,ได้รับ,2550-09-20,,ห้วยขมิ้น,ด่านช้าง,สุพรรณบุรี,72180,,,,,,,8,,,,,,,,,
24,4420114002,กกทองใหญ่,วัดราษฎร์,มหานิกาย,ตั้งวัด,1906-10-17,ไม่ได้รับ,-,,กกทอง,เมืองเลย,เลย,42000,,,,,,,3,,,,,,,,,
25,2670111005,กกไทร,วัดราษฎร์,มหานิกาย,ตั้งวัด,1906-10-13,ได้รับ,2537-11-29,,นาป่า,เมืองเพชรบูรณ์,เพชรบูรณ์,67000,,,,,,,9,,,,,,,,,
26,4360102004,กกบก,วัดราษฎร์,มหานิกาย,ตั้งวัด,1906-10-05,ไม่ได้รับ,-,,รอบเมือง,เมืองชัยภูมิ,ชัยภูมิ,36000,,,,,,,13,,,,,,,,,
27,4471804006,กกปลาซิว,วัดราษฎร์,มหานิกาย,ตั้งวัด,1906-09-01,ไม่ได้รับ,-,,กกปลาซิว,ภูพาน,สกลนคร,47180,,,,,,,1,,,,,,,,,
28,2720402003,กกม่วง,วัดราษฎร์,มหานิกาย,ตั้งวัด,1906-06-11,ได้รับ,2526-08-29,//,บางปลาม้า,บางปลาม้า,สุพรรณบุรี,72150,,,,,,,7,,,,,,,,,
29,2720910003,กกม่วง,วัดราษฎร์,มหานิกาย,ตั้งวัด,1906-05-12,ได้รับ,2529-07-04,,บ้านโข้ง,อู่ทอง,สุพรรณบุรี,72160,,,,,,,7,,,,,,,,,
30,4420101008,กกม่วงชี,วัดราษฎร์,มหานิกาย,ตั้งวัด,1906-10-17,ไม่ได้รับ,-,,กุดป่อง,เมืองเลย,เลย,42000,,,,,,,,,,,,,,,,
31,3650811002,กกไม้แดง,วัดราษฎร์,มหานิกาย,ตั้งวัด,2532-05-23,ได้รับ,2543-10-03,,ดินทอง,วังทอง,พิษณุโลก,65130,,,,,,,9,,,,,,,,,
32,3640408001,กกแรต,วัดราษฎร์,มหานิกาย,ตั้งวัด,1906-09-28,ได้รับ,2526-11-08,,กกแรต,กงไกรลาศ,สุโขทัย,64170,,,,,,,4,,,,,,,,,
33,4470101018,กกส้มโฮง,วัดราษฎร์,ธรรมยุต,ตั้งวัด,2544-10-19,ไม่ได้รับ,-,,ธาตุเชิงชุม,เมืองสกลนคร,สกลนคร,47000,,,,,,,3,,,,,,,,,
34,4470117007,กกส้มโฮง,วัดราษฎร์,มหานิกาย,ตั้งวัด,1906-09-25,ไม่ได้รับ,-,,เหล่าปอแดง,เมืองสกลนคร,สกลนคร,47000,,,,,,,4,,,,,,,,,
35,2240209001,กกสับ,วัดราษฎร์,มหานิกาย,ตั้งวัด,1906-09-30,ได้รับ,1906-10-11,,ปากน้ำ,บางคล้า,ฉะเชิงเทรา,24110,,,,,,,4,,,,,,,,,
36,4480113004,กกไฮ,วัดราษฎร์,มหานิกาย,ตั้งวัด,1906-08-16,ได้รับ,2556-08-08,,ดงขวาง,เมืองนครพนม,นครพนม,48000,,,,,,,10,,,,,,,,,
